ISODateWithMS,tag,iPos,goalTheta,actualTheta,goalPhi,actualPhi,opPower,opPowerSD,opTemp,laserPower,laserTemp,laserCaseTemp,laserCurrent,PDCurrent,LEDcurrent
2024-03-12T13:18:19.280,112,0,0,32.68,0,3.99,-4.13065e-12,3.94492e-13,10.2795,0,0,0,0,0,0
2024-03-12T13:18:21.584,110,1,2,34.66,0,3.99,-4.14464e-12,3.99518e-13,10.2795,0,0,0,0,0,0
2024-03-12T13:18:23.889,110,2,4,36.64,0,3.99,-4.56593e-12,4.01896e-13,10.2795,0,0,0,0,0,0
2024-03-12T13:18:26.182,110,3,6,38.66,0,3.99,-4.62345e-12,4.03128e-13,10.2795,0,0,0,0,0,0
2024-03-12T13:18:28.491,110,4,8,40.64,0,3.99,-4.54661e-12,4.03378e-13,10.2795,0,0,0,0,0,0
2024-03-12T13:18:30.766,110,5,10,42.65,0,3.99,-2.51253e-12,4.73322e-13,10.2787,0,0,0,0,0,0
2024-03-12T13:18:33.038,110,6,12,44.63,0,3.99,5.66082e-12,6.58305e-13,10.2787,0,0,0,0,0,0
2024-03-12T13:18:35.376,110,7,14,46.65,0,3.99,1.06463e-11,5.04435e-13,10.2787,0,0,0,0,0,0
2024-03-12T13:18:37.658,110,8,16,48.63,0,3.99,1.36733e-11,4.43318e-13,10.2787,0,0,0,0,0,0
2024-03-12T13:18:39.926,110,9,18,50.65,0,3.99,1.70529e-11,4.32521e-13,10.2795,0,0,0,0,0,0
2024-03-12T13:18:42.229,110,10,20,52.66,0,3.99,2.08076e-11,4.70062e-13,10.2795,0,0,0,0,0,0
2024-03-12T13:18:44.556,110,11,22,54.64,0,3.99,2.55508e-11,5.30865e-13,10.2795,0,0,0,0,0,0
2024-03-12T13:18:46.854,110,12,24,56.66,0,3.99,3.53611e-11,7.98101e-13,10.2795,0,0,0,0,0,0
2024-03-12T13:18:49.177,110,13,26,58.64,0,3.99,5.17811e-11,1.15602e-12,10.2795,0,0,0,0,0,0
2024-03-12T13:18:51.438,110,14,28,60.65,0,3.99,7.51173e-11,1.49718e-12,10.2795,0,0,0,0,0,0
2024-03-12T13:18:53.736,110,15,30,62.63,0,3.99,1.04547e-10,1.83612e-12,10.2795,0,0,0,0,0,0
2024-03-12T13:18:56.037,110,16,32,64.65,0,3.99,1.38628e-10,2.30702e-12,10.2795,0,0,0,0,0,0
2024-03-12T13:18:58.371,110,17,34,66.63,0,3.99,1.78954e-10,2.53742e-12,10.2795,0,0,0,0,0,0
2024-03-12T13:19:00.715,110,18,36,68.65,0,3.99,2.2432e-10,2.87494e-12,10.2795,0,0,0,0,0,0
2024-03-12T13:19:03.024,110,19,38,70.66,0,3.99,2.72413e-10,3.17361e-12,10.2787,0,0,0,0,0,0
2024-03-12T13:19:05.279,110,20,40,72.64,0,3.99,3.24733e-10,3.52661e-12,10.2787,0,0,0,0,0,0
2024-03-12T13:19:07.582,110,21,42,74.62,0,3.99,3.79292e-10,3.44069e-12,10.2787,0,0,0,0,0,0
2024-03-12T13:19:09.846,110,22,44,76.64,0,3.99,4.35814e-10,3.84227e-12,10.2787,0,0,0,0,0,0
